NomStructure ; TypeStructure ; AdresseStructure ; CodePostalStructure ; VilleStructure ; PaysStructure ; NomService ; SujetStage ; DateDebutStage ; DateFinStage ; OrigineStage ; CodePostalEtudiant ; VilleEtudiant ; LibelleEtape ; FonctionsEtTaches ; Details ; Annee 
 CNRS - Université de Corse Pasquale Paoli - UMR SPE 6134 ; Non connu ; Avenue Jean Nicoli BP 52 ; 20250 ; CORTE ; FRANCE ; Technologies de l'information et de la communicati ; IA et simulation ;11/04/2023;05/05/2023; candidature spontané ; 20250 ; corte ; LICENCE-3-INFORMATIQUE ; chercheur , recherche sur le sujet de l'ia et de la simulation et programation. devloppement de concept de code ; Le stage consistera à découvrir le métier de chercheur par l’étude de travaux de rechercheconcernant le lien entre Simulation et Machine Learning.Pour cela trois principaux points seront développés :1. l’étude de publications concernant le lien entre Simulation et Machine Learning2. la participation à des reunions de recherche (en présentiez et distanciel.3. la découverte de l’environnement de Modélisation et Simulation DEVSimPy.Le point 1 permettra au stagiaire de découvrir l’activité de recherche consacrée à établir un état d l’artet qui consiste à étudier un ensemble de publications , en faire un résumé et établir une grille delecture.Le point 2 permettra au stagiaire de découvrir l’activité de recherche concernant le travail d’équipe.Le point 3 permettra au stagiaire de décou ; 2022/2023 
 CNRS - Université de Corse Pasquale Paoli - UMR SPE 6134 ; Non connu ; Avenue Jean Nicoli BP 52 ; 20250 ; CORTE ; FRANCE ;  ; Simulation / IA ;11/04/2023;05/05/2023; candidature spontané ; 20600 ; Biguglia ; LICENCE-3-INFORMATIQUE ; Chercheur ; Intégration de modules d’IA (type Machine Learning) dans un environnement de Modélisation et Simulation bas é sur le formalisme DEVS : application en DEVSimPy ; 2022/2023 
 UMR CNRS 6240 LISA / Università di Corsica Pasquale Paoli ; Non connu ; UMR 6240 CNRS LISA  ; 20250 ; Corte ; France ;  ; Stage en ingénierie technique et de production : administrer une base de données bibliographiques sous Omeka S, et intégrer des applications sur la plateforme en sciences ouvertes M3C (programme Médiathèque Culturelle de la Corse et des Corses), laboratoire CNRS UMR 6240 LISA. ;11/04/2023;05/05/2023; candidature spontané ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; Mettre en œuvre les logiciels de gestion de la base de données M3C, en assurer l'adaptation, l'administration et la maintenance. Intégrer dans les environnements de tests et de production les solutions logicielles et en assurer le déploiement. ; Ce stage vise à renforcer l’équipe de gestion informatique de la plateforme de gestion de données bibliographiques M3C. La M3C est la première plateforme de science ouverte sur la Corse qui donne libre accès aux publications et aux données de recherche en Sciences Humaines et Sociales. Directement et immédiatement accessible à tout public, elle est un outil de diffusion libre et gratuit des savoirs anciens, populaires, folkloriques et scientifiques mis au service de la communauté universitaire des enseignants, des chercheurs ainsi que des étudiants qui effectuent leur cursus à l’Università di Corsica Pasquale Paoli. ; 2022/2023 
 AROBASE ; Entreprise privée ; 1 Avenue de la République ; 20250 ; CORTE ; FRANCE ; AROBASE ; Opportunités de développement et de communication chez l'entreprise Arobase ;10/04/2023;12/05/2023; candidature spontané ; 20200 ; Ville di Pietrabugno ; LICENCE-3-INFORMATIQUE ; Développement web, communication audiovisuelle ; Je vais rejoindre l'équipe des développeurs afin de développer et maintenir des sites Web pour les clients d'Arobase. Je continuerai possiblement le développement du nouveau site internet d'Arobase, et participerai possiblement à la communication du projet GOLIAT. Enfin, en parallèle, je m'occuperai de la communication audiovisuelle des clients d'Arobase. ; 2022/2023 
 CNRS - Université de Corse Pasquale Paoli - UMR SPE 6134 ; Non connu ; Avenue Jean Nicoli BP 52 ; 20250 ; CORTE ; FRANCE ; Technologies de l'information et de la communicati ; Simulation et IA ;11/04/2023;05/05/2023; candidature spontané ; 20213 ; PENTA DI CASINCA ; LICENCE-3-INFORMATIQUE ; Chercheur ; Intégration de modules d’IA (type Machine Learning) dans un environnement de Modélisation et Simulation bas é sur le formalisme DEVS : application en DEVSimPy ; 2022/2023 
 CorsicaWeb ; Entreprise privée ; Maison du Cap ; 20200 ; Ville di Pietrabugno ; FRANCE ; CorsicaWeb ; Stage développement web ;11/04/2023;05/05/2023; candidature spontané ; 20290 ; Borgo ; LICENCE-3-INFORMATIQUE ; Développeur web ; Développement web ; 2022/2023 
 SARL Neuromediasoft  ; Entreprise privée ; Rt de saint pancrace  ; 20250 ; Corte  ; France ; Développement ; Développement d'une application web. ;11/04/2023;05/05/2023; candidature spontané ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; -Utilisation du framework Angularjs- CSS et flexbox, Angular Materiel UI- Familiarisation à Firebase et à l'environnement Nosql- Git ; Développement de fonctionnalités pour une application web en lien avec le logiciel Creadoc for School. ; 2022/2023 
 UNIVERSITE DE CORSE P PAOLI ;  ; BAT JEAN TOUSSAINT DESANTI AVENUE DU 9 SEPTEMBRE 20250 CORTE ;  ;  ; FRANCE ;  ; constituer une base de données regroupant tous les alumni de l’UCPP. Cette BDD pourra servir de support technique pour une communication - tous services confondus- plus pertinente et efficace. Elle permettra également à ce que divers segments de cette communauté puissent montrer leur fierté d’appartenance à l’université en étant sollicités pour des dons, pour des évènements, pour le partage d’information, pour la recherche d’emplois/stages//d’employés/stagiaires et alternances.  ;11/04/2023;13/07/2023; réseau de connaissance ; 20236 ; Omessa ; LICENCE-3-INFORMATIQUE ; Poursuivre le développement du réseau ALUMNI :- Alimentation du réseau des alumni (compte univ + mise à jour leur fiche membre + lien API entreprise + LINKEDIN)Gestion des collectes de fonds, des partenariats, des évènements du réseau et proposer des offres d'emplois et stages. ; Lors d’un Séminaire Stratégique de la Fundazione di l’Università di Corsica (UCPP) est née l'idée de constituer une base de données regroupant tous les alumni de l’UCPPTechnologies utilisées :  Backend : PHP Frontend : Javascript, CSS Base de données : MySQL - stockage en interne  API Linkedin  Ce projet n’est pas impacté par d’autres projets, il est isolé mais il peut impacter d’autres outils sur le site de l’ENT en particulier le méta annuaire et l’annuaire des entreprises. Nous pourrons utiliser les données existantes du site de l'Université et de Linkedin pour mener à bien le projet.  ; 2022/2023 
 Collectivité de Corse ; Administration territoriale ; Palazzu di a Cullettività di Corsica ; 20187 ; Ajaccio ; France ; Direction du Digital et des Systèmes d'Information ; Développement d'API web et application métier ;11/04/2023;05/05/2023; réseau de connaissance ; 20090 ; Ajaccio ; LICENCE-3-INFORMATIQUE ; Développeur ; Intégration au sein des équipes de développement d'une collectivité térritorial.Développement d'une API web et intégration au sein d'une application métier.Suivie de projet. ; 2022/2023 
 CNRS - Université de Corse Pasquale Paoli - UMR SPE 6134 ; Non connu ; Avenue Jean Nicoli ; 20250 ; CORTE ; FRANCE ;  ; Développement d’un modèle de propagation d’épidémie sous GAMA, logiciel de simulation multi-agents. ;11/04/2023;05/05/2023; réseau de connaissance ; 20230 ; TAGLIO-ISOLACCIO ; LICENCE-3-INFORMATIQUE ; Développeur ayant pour mission de prendre en main de logiciel GAMA, comprendre le modèle et l’implémenter sous GAMA. ; L’objectif est de porter un modèle sous plusieurs environnements de simulation afin de comparer les résultats. ; 2022/2023 
 CNRS - UMR 6134 - Laboratoire SPE ; Non connu ; Campus Grimaldi BP 52  ; 20250 ; Corte ; France ;  ; Développement de codes informatiques pour le traitement, l’analyse et la visualisation de données environnementales sous la forme de séries temporelles ;11/04/2023;11/05/2023; réponse à une offre de stage ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; Récupération et analyse des données  Création de codes/algorithmes  Lecture et compréhension de revues scientifiques  Compréhension des algorithmes de Machine Learning  Veille sur les possibilités d’utilisation de ChatGPT pour assister un scientifique souhaitant manipuler des séries temporelles  ; Le stagiaire aura pour mission de développer des codes informatiques pour le traitement, l’analyse et la visualisation de données environnementales. Ces données seront disponibles sous la forme de séries temporelles. Des algorithmes d’analyse de ces données seront à coder en respectant les bonnes pratiques de codage.   ; 2022/2023 
 Interstem ; Non connu ; Les Amandiers, Rue Cnl et Capitaine Biancamaria Bat C ; 20090 ; Ajaccio ; France ;  ; Développement d'application dans la société Interstem. ;11/04/2023;05/05/2023; candidature spontané ; 20000 ; 2A ; LICENCE-3-INFORMATIQUE ; Développeur Informatique dans la société Interstem. Développement d'une application en lien avec la société Interstem. ; Interstem est une société développant des applications et sites surmesures pour des entreprises. La société s'occupe aussi de maintenance et d'audit et procure des conseils en informatique.  ; 2022/2023 
 Audemard Nicolas ; Entreprise privée ; 39 rue de la Tirelle ; 49300 ; Cholet ; France ; Développement  ; Mise en place d'un site et son back office dans le cadre de l'industrialisation et le déploiement d'un logiciel. ;11/04/2023;05/05/2023; réseau de connaissance ; 20240 ; Ventiseri ; LICENCE-3-INFORMATIQUE ; Développement  ; Mise en place d'une base de donnée en Mysql Branchement de la base avec Entity FrameworkCréation d'une API Back Office en c# .netPréparation rapide d'un front end en AngularMise en place d'outils de déploiement ; 2022/2023 
 FemuQuì Ventures ; Entreprise privée ; immeuble SITEC, parc technologique d'Erbaghjolu ; 20600 ; bastia ; france ; FemuQuì Ventures ; Refonte de l'organisation de l'espace de travail numérique ;11/04/2023;05/05/2023; réseau de connaissance ; 20240 ; ghisonaccia ; LICENCE-3-INFORMATIQUE ; Refaire l'espace de travail ; J'aurais pour missions de réorganiser l'espace de travail numérique et faisant un tri sur lesutilisateurs, leurs permissions ainsi que les dossiers hébergés. ; 2022/2023 
 Università di Corsica Pasquale Paoli - UMR SPE 6134 ; Non connu ; Avenue Jean Nicoli BP 52 ; 20250 ; Corte ; France ; UMR SPE 6134 ; Développement de codes informatiques pour le traitement, l’analyse et la visualisation de données environnementales sous la forme de séries temporelles  ;11/04/2023;05/05/2023; réseau de connaissance ; 20172 ; Vero ; LICENCE-3-INFORMATIQUE ; Récupération et analyse des données  Création et test de codes / algorithmes  Lecture et compréhension de revues scientifiquesCompréhension des algorithmes de Machine Learning  Veille sur les possibilités d’utilisation de ChatGPT pour assister un scientifique souhaitant manipuler des séries tem ; Le stagiaire aura pour mission de développer des codes informatiques pour le traitement, l’analyse et la visualisation de données environnementales. Ces données seront disponibles sous la forme de séries temporelles. Des algorithmes d’analyse de ces données seront à coder en respectant les bonnes pratiques de codage. ; 2022/2023 
 UMR LISA CNRS ; Non connu ; Universite de Corse, Avenue Jean Nicoli ; 20250 ; Corte ; France ; M3C ; Stage en ingénierie technique et de production : administrer une base de donnéesbibliographiques sous Omeka S, et intégrer des applications sur la plateforme en sciencesouvertes M3C (programme Médiathèque Culturelle de la Corse et des Corses), laboratoireCNRS UMR 6240 LISA ;01/06/2023;31/07/2023; candidature spontané ; 20213 ; CASTELLARE-DI-CASINCA ; LICENCE-3-INFORMATIQUE ; Mettre en œuvre les logiciels de gestion de bases de données, en assurer l'adaptation,l'administration et la maintenance Intégrer dans les environnements de tests et de productionles solutions logicielles et en assurer le déploiement Garantir la disponibilité et la qualité desdonnées par le mai ; Ce stage vise à renforcer l’équipe informatique de la plateforme de gestion de donnéesbibliographiques M3C. La M3C est la première plateforme de science ouverte sur la Corse quidonne libre accès aux publications et aux données de recherche en Sciences Humaines etSociales. Directement et immédiatement accessible à tout public, elle est un outil de diffusionlibre et gratuit des savoirs anciens, populaires, folkloriques et scientifiques mis au service dela communauté universitaire des enseignants, des chercheurs ainsi que des étudiants quieffectuent leur cursus à l’Università di Corsica Pasquale Paoli. ; 2022/2023 
 UMR LISA CNRS ; Non connu ; Universite de Corse, Avenue Jean Nicoli ; 20250 ; Corte ; France ; M3C ; Stage en ingénierie technique et de production : administrer une base de données bibliographiques sous Omeka S,  et intégrer des applications sur la plateforme en sciences ouvertes M3C (programme Médiathèque Culturelle de la Corse et des Corses), laboratoire CNRS UMR 6240 LISA ;01/06/2023;31/07/2023; réseau de connaissance ; 20250 ; corte ; LICENCE-3-INFORMATIQUE ; Mettre en œuvre les logiciels de gestion de bases de données, en assurer l'adaptation, l'administration et la maintenanceIntégrer dans les environnements de tests et de production les solutions logicielles et en assurer le déploiement ; Ce stage vise à renforcer l’équipe de gestion informatique de la plateforme de gestion de données bibliographiques M3C. La M3C est la première plateforme de science ouverte sur la Corse qui donne libre accès aux publications et aux données de recherche en Sciences Humaines et Sociales. Directement et immédiatement accessible à tout public, elle est un outil de diffusion libre et gratuit des savoirs anciens, populaires, folkloriques et scientifiques mis au service de la communauté universitaire des enseignants, des chercheurs ainsi que des étudiants qui effectuent leur cursus à l’Università di Corsica Pasquale Paoli. ; 2022/2023 
 SAS CAFE ; Non connu ; CENTRE CO SAINT JOSEPH  ; 20186 ; AJACCIO ; FRANCE ;  ; Développement Web et applications ;08/04/2024;03/05/2024; réseau de connaissance ; 20090 ; Ajaccio ; LICENCE-3-INFORMATIQUE ; Développeur web ; Travail sur le site internet de l'entreprise in casa vostra en React JS ; 2023/2024 
 UNIGEST SOLUTIONS ; Entreprise privée ; 102 Rue du Colonel Franceschetti 20270 Aleria ; 20270 ; Aleria ; France ; UNIGEST SOLUTIONS ; Stage chez Unigest Solutions.Développement informatique web et mobile. ;08/04/2024;03/05/2024; réseau de connaissance ; 20270 ; Aleria ; LICENCE-3-INFORMATIQUE ; Développement d'application mobile.Développement d'application web. ; Développement d'application mobile de GMAO et de GESCOM (Gestion de Maintenance Assisté, Gestion Commercial) :- Développement d'une application mobile en Javascript pour iOS et Android.- Développement d'un API en Typescript permettant la liaison entre l'application et la base de données (PostgreSQL)Développement d'application web :- Développement et maintenance du site web (PHP, HTML, CSS, JS)- Nouveau projet d'application web, pour la gestion des ehpads. Coté MEDIKALLIS (groupement qui intègrera C2S / C2M /PHARELYA) ; 2023/2024 
 SAS GoodBarber ; Non connu ; 12 rue Général Fiorella  ; 20000 ; Ajaccio ; France ; Technique ; Développement d’une fonctionnalité « LABS » dans le produit GoodBarber. ;08/04/2024;03/05/2024; réseau de connaissance ; 20000 ; ajaccio ; LICENCE-3-INFORMATIQUE ; Le stagiaire en binôme devra s’occuper du développement intégrale de la partie Front de la fonctionnalité en technologies web. Selon la fonctionnalité sélectionnée, une petite API de mock de données devra être développée en python. Intégration de ce développement au sein de la plateforme GoodBarber. ; Les fonctionnalités LABS sont des développements proposés à la communauté de client de GoodBarber.Une fois plébiscitées par le vote des clients, ces fonctionnalités sont développées de façon agile, en technologies web, à destinations des terminaux mobiles, tablettes et desktop.Le but de ce stage sera de développer la fonctionnalité sélectionnée par les votes du mois de Mars. Voici quelques exemples de fonctionnalités : Sondage utilisateur, Quiz de connaissance, etc. ; 2023/2024 
 SAS GoodBarber ; Non connu ; 12 rue Général Fiorella  ; 20000 ; Ajaccio ; France ; Technique ; Développement d'une fonctionnalité « LABS » dans le produit GoodBarber. ;08/04/2024;03/05/2024; réseau de connaissance ; 20600 ; Bastia ; LICENCE-3-INFORMATIQUE ; Le stagiaire en binôme devra s'occuper du développement intégrale de la partie Front de la fonctionnalité.Selon la fonctionnalité sélectionnée, une petite API de mock de donnée devra être développée en python.Le binôme sera en charge de l'intégration de ce développement au sein de la plateforme. ; Les fonctionnalités LABS sont des développements proposés à la communauté de client de GoodBarber.Une fois plébiscitées par le vote des clients, ces fonctionnalités sont développée de façon agile, en technologie web, à destinations des terminaux mobiles, tablettes et desktop.Le but de ce stage sera de développer la fonctionnalité sélectionnée par les votes du mois de Mars. Voici quelques exemples de fonctionnalité : Sondage utilisateur, Quiz de connaissance, etc. ; 2023/2024 
 Ilumedia ; Entreprise privée ; Rue Golden Hope 13 ; 1620  ; Drogenbos  ; Belgique ; Informatique ; Développement d'un module de programmation innovant chez Ilumedia, spécialisée dans lessolutions B2B. ;08/04/2024;03/05/2024; réseau de connaissance ; 20600 ; Bastia ; LICENCE-3-INFORMATIQUE ; Le stagiaire sera impliqué dans toutes les phases de développement du module. Celacomprendra la conception, le codage, les tests et l'intégration du module dans l'environnementinformatique existant d'Ilumedia. Une attention particulière sera accordée à la créationd'interfaces utilisateur. ; Le principal défi sera de développer une solution qui non seulement répond aux besoinsinternes d'Ilumedia mais est également facilement adaptable aux exigences variées des clientsB2B. Ceci implique une compréhension approfondie des processus d'affaires dans différentssecteurs et la capacité de créer des solutions flexibles et évolutives. ; 2023/2024 
 L'Observatoire Régional de la Santé de Corse ; Non connu ; Quartier St-Joseph BP 604 - 20186 Ajaccio Cedex 02 ; 20186 ; Ajaccio ; France ;  ; Registre général des cancers de Corse (base de données sous Oracle) ;08/04/2024;08/05/2024; réseau de connaissance ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; Découverte de l’outil et des données présentes : rédaction/màj d’une documentation Etude et préconisation pour utiliser/ouvrir ces données : technique et éthique  Analyse des données et de leur qualité : définition et mise en place de routines/scripts Etude d’opportunités en matière d’IA  ; Etude et préconisation pour utiliser/ouvrir ces données : technique et éthique  Analyse des données et de leur qualité : définition et mise en place de routines/scripts Etude d’opportunités en matière d’IA  ; 2023/2024 
 L'Observatoire Régional de la Santé de Corse ; Non connu ; Quartier St-Joseph BP 604 - 20186 Ajaccio Cedex 02 ; 20186 ; Ajaccio ; France ; ORS ; L’ORS dispose d’un registre de santé, plus particulièrement des cancers à l’échelle régional et souhaiterait le mettre à disposition de la communauté scientifique, notamment l’Université de Corse ;08/04/2024;03/05/2024; réseau de connaissance ; 20250 ; CORTE ; LICENCE-3-INFORMATIQUE ; Découverte de l’outil et des données présentes : rédaction/màj d’une documentationAnalyse des données et de leur qualité : définition et mise en place de routines/scriptsEtude d’opportunités en matière d’IA pour exploiter ces données ; L’ORS dispose d’un registre de santé, (base de données sous Oracle ) et souhaiterait le mettre à disposition de la communauté scientifique, et pour cela on va Analyse ses données et  leur qualité  ; 2023/2024 
 UMR CNRS 6240 LISA / Università di Corsica Pasquale Paoli ; Non connu ; UMR 6240 CNRS LISA  ; 20250 ; Corte ; France ; M3C ; Stage en développement, ingénierie technique et de production : administrer une base de données bibliographiques sous Omeka S, intégrer des applications sur la plateforme en sciences ouvertes M3C (programme Médiathèque Culturelle de la Corse et des Corses), laboratoire CNRS UMR 6240 LISA ;08/04/2024;03/05/2024; réponse à une offre de stage ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; - Intégrer Dicorsu (projet de dictionnaire en langue corse) à la M3C, en mettant en place un site satellite sur les serveurs de l’Université de Corse, dont il faudrait assurer la sécurité des données, pour mise en ligne PROD avant la fin du stage.- Dressage d’une IA avec le corpus de PDF de la M3C ; Ce stage vise à renforcer l’équipe de gestion informatique de la plateforme de gestion de données bibliographiques M3C. La M3C est la première plateforme de science ouverte sur la Corse qui donne libre accès aux publications et aux données de recherche en Sciences Humaines et Sociales. Directement et immédiatement accessible à tout public, elle est un outil de diffusion libre et gratuit des savoirs anciens, populaires, folkloriques et scientifiques mis au service de la communauté universitaire des enseignants, des chercheurs ainsi que des étudiants qui effectuent leur cursus à l’Università di Corsica Pasquale Paoli. ; 2023/2024 
 CAPA ; Non connu ; Espace Alban Bât G et H  18 rue Antoine Sollacaro  ; 20000 ; AJACCIO ; FRANCE ; Direction des systèmes informatiques et du numériq ; Développement d’un logiciel de gestion des abonnements du service documentation de la ville ;08/04/2024;03/05/2024; candidature spontané ; 20166 ; Pietrosella  ; LICENCE-3-INFORMATIQUE ; Développeur ; Le service Documentation gère une centaine d’abonnements auprès de 40 éditeurs répartis sur 27 services. Ces abonnements se déclinent sous format papier ou en version numérique.La gestion quotidienne des abonnements se fait actuellement via des procédures mises en place en interne- Tableaux Excel pour les abonnements- Fiche de suivi pour la transmission aux bénéficiaires- Couleurs pour les dates d’échéance,- Couleurs pour les délais réglementaires de résiliation- Couleurs pour les relances auprès des services- Couleur pour les demandes de devisBesoins :Développer un programme intégrant :- Des alertes avec des dates de réabonnement et un rappel des délais de résiliation.- Possibilité d’assurer le suivi des envois de l’éditeur- Une Organisation de l’archivage  ; 2023/2024 
 UMR CNRS 6240 LISA / Università di Corsica Pasquale Paoli ; Non connu ; UMR 6240 CNRS LISA  ; 20250 ; Corte ; France ; M3C ; Stage en ingénierie technique et de production : administrer une base de données bibliographiques sous Omeka S, intégrer des applications sur la plateforme en sciences ouvertes M3C (programme Médiathèque Culturelle de la Corse et des Corses), laboratoire CNRS UMR 6240 LISA. ;08/04/2024;03/05/2024; réponse à une offre de stage ; 20240 ; GHISONACCIA ; LICENCE-3-INFORMATIQUE ; Mettre en œuvre les logiciels de gestion de bases de données, en assurer l'adaptation, l'administration et la maintenance. ;" -	Tri et curation des collections de la « presse insulaire corse ». Mise en ligne des PDF associés à cette collection : revue de la corse, almanach popolare di Corsica, les Annales de la Corse, Archivio Storico i Corsica, u Lariciu, A baretta misgia, L’annu corsu, Corsica antica e moderna, almanaccu di a Muvra, BSSHNC.-	Intégrer le parcours thématique San Michèle (Elia Vallecale). "; 2023/2024 
 UMR CNRS 6240 LISA / Università di Corsica Pasquale Paoli ; Non connu ; UMR 6240 CNRS LISA  ; 20250 ; Corte ; France ; M3C ; Stage en développement, ingénierie technique et de production : administrer une basede données bibliographiques sous Omeka S, intégrer des applications sur la plateformeen sciences ouvertes M3C (programme Médiathèque Culturelle de la Corse et desCorses), laboratoire CNRS UMR 6240 LISA ;08/04/2024;03/05/2024; candidature spontané ; 22, a ; 20250 CORTE ; LICENCE-3-INFORMATIQUE ; Stage en développement, ingénierie technique et de production : administrer une basede données bibliographiques sous Omeka S, intégrer des applications sur la plateformeen sciences ouvertes M3C (programme Médiathèque Culturelle de la Corse et desCorses), laboratoire CNRS UMR 6240 LISA ; Ce stage vise à renforcer l’équipe de gestion informatique de la plateforme de gestion dedonnées bibliographiques M3C. La M3C est la première plateforme de science ouvertesur la Corse qui donne libre accès aux publications et aux données de recherche enSciences Humaines et Sociales. Directement et immédiatement accessible à tout public,elle est un outil de diffusion libre et gratuit des savoirs anciens, populaires, folkloriques etscientifiques mis au service de la communauté universitaire des enseignants, deschercheurs ainsi que des étudiants qui effectuent leur cursus à l’Università di CorsicaPasquale Paoli. ; 2023/2024 
 DEPT ; Entreprise privée ; Amsterdam ; 1000 ; Amsterdam ; North-Holland ; Informatique ; Within DEPT®, a leading digital agency, you will help create a new generation interface for an e-commerce site, connected to a CMS, a Backend and various APIs. Your mission will include performance optimization, SEO and efficient deployment. ;08/04/2024;03/04/2024; réseau de connaissance ; 20290 ; Lucciana ; LICENCE-3-INFORMATIQUE ; Concevoir l'architecture de l'interface en collaboration avec l'équipe technique.Develop the interface using appropriate technologies.Integrate the interface with the CMS, the Backend and the different APIs.Test the interface to ensure all needs ; At the heart of the DEPT® business lies a dynamic digital agency, pioneering the provision of technology, marketing and creative services aimed at propelling brands into the future. As part of a stimulating project focused on an e-commerce site, we are committed to designing a new next-generation interface, integrated with a robust content management system (CMS), a high-performance backend and various programming interfaces ( API). Our mission is to meet the major challenges of performance, referencing (SEO) and efficient deployment, in order to ensure an optimal user experience and an unrivaled online presence.EN DISTANCIEL  ; 2023/2024 
 UMR CNRS 6240 LISA ; Administration publique d'état ; Avenue Jean Nicoli ;   20250 ;  CORTE  ; France ; ICPP équipe NALC - BDLC ; Produire une analyse quantitative et qualitative des erreurs produites par un outil d’annotation automatique sur la langue Corse. ;08/04/2024;03/05/2024; candidature spontané ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; - prise en main de l’outil d’annotation - prise en main du script d’évaluation - complétion du script : seule la précision est calculée, nous voulons ajouter le calcul du rappel et de la Fmesure de l’outil - extraction des erreurs produites par l’outil - analyse quantitative des erreurs ; Un outil d’annotation en parties du discours a été entraîné pour le corse. Cet outil attribue automatiquement à chaque token d’une phrase son étiquette morphosyntaxique (par exemple NOUN pour les noms communs, ADJ pour les adjectifs, etc.). Cet outil a été évalué sur un corpus de test et l’exactitude calculée est de 93,7 %. L’objectif de ce stage est d’identifier et d’analyser le 6,7 % des tokens qui ont posé des difficultés à l’outil. ; 2023/2024 
 SNCF Réseau ; Non connu ; 15 Rue Jean-Philippe Rameau ; 93200 ; Saint-Denis ; France ; SNCF Réseau ; Stage informatique à SNCF Réseau ;08/04/2024;03/05/2024; réseau de connaissance ; 20200 ; Ville-Di-Pietrabugno ; LICENCE-3-INFORMATIQUE ; Développement Web sur environnement AWS au sein de l'équipe Data Ops ;   ; 2023/2024 
 UMR 6240 LISA ; Non connu ; UMR 6240 ; 20250 ; Corte ; France ; Université de Corse ; Stage en ingénierie technique, développement et production : administrer une base de données bibliographiques sous Omeka S, intégrer des applications sur la plateforme en sciences ouvertes M3C (programme Médiathèque Culturelle de la Corse et des Corses), laboratoire CNRS UMR 6240 LISA ;08/04/2024;05/05/2024; réponse à une offre de stage ; 20250 ; CORTE ; LICENCE-3-INFORMATIQUE ;  ingénieur en informatique  ; Ce stage vise à renforcer l’équipe de gestion informatique de la plateforme de gestion de données bibliographiques M3C. La M3C est la première plateforme de science ouverte sur la Corse qui donne libre accès aux publications et aux données de recherche en Sciences Humaines et Sociales. Directement et immédiatement accessible à tout public, elle est un outil de diffusion libre et gratuit des savoirs anciens, populaires, folkloriques et scientifiques mis au service de la communauté universitaire des enseignants, des chercheurs ainsi que des étudiants qui effectuent leur cursus à l’Università di Corsica Pasquale Paoli. ; 2023/2024 
 UNIONITSERVICES ; Non connu ; Rue Saint Saens ,Belvédère ; 20300 ; casablanca ; maroc ; UNIONITSERVICES  ; Automatisation d’un réseau IP avec Python ;08/04/2024;06/05/2024; réponse à une offre de stage ; 20250 ; CORTE ; LICENCE-3-INFORMATIQUE ;  projet est de créer un système d'automatisation pour la gestion d'un réseau IP à l'aide de Python ;  le concept de ce projet est de tirer parti de la puissance de Python pour automatiser la gestion d'un réseau IP, en offrant des avantages tels que la réduction du temps passé sur les tâches administratives ; 2023/2024 
 Qualitair Corse ; Association ;  Qualitair Corse Lieu-dit Lergie RN 200 ; 20250 ; CORTE ; France ; Qualitair Corse ; Administration réseau informatique / gestionaire bases de données ;08/04/2024;03/05/2024; candidature spontané ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; Assister l'administrateur réseau et appui développement informtique au  service études ; Inventaire matériel / mise à jour opendata / programmation ; 2023/2024 
 Laboratoire SPE - UMR6134 ; Entreprise privée ; Campus Grimaldi BP52 ; 20250 ; CORTE ; France ; Projet COMPA ; Le stage consiste à assurer la diffusion et la promotion d'un service logiciel de backend de données Météorogoliques, issues de stations sol, pour deux sources différentes. La première est le réseau de stations Météo de MeteoFrance en Corse et la seconde est un réseau privé, propriété de l'université de Corse. Melle El-Hataf aura pour mission de promouvoir le service logiciel auprès des utilisateurs dans le programme SAPHIR et en dehors (notamment auprès du PIA Uniti).  ;08/04/2024;08/05/2024; candidature spontané ; 20250 ; corte ; LICENCE-3-INFORMATIQUE ; La mission consiste à:+s'approprier l'architecture logicielle choisie pour pouvoir en expliquer l'historique et les détails (micro-services)+promouvoir le service entier auprès des end-users+livrer une appréciation de la situation et exprimer un avis fondé  des évolutions à venir ; Le projet SAPHIR (Sensor Augmented weather Predictions at High Resolution) est un projet ANR hébergé par l'équipe COMPA. Il a pour ambition d'éprouver la capacité des stratégies d'apprentissage par réseau de neurons à partir d'un jeu hydride de données Météo: celles issus des stations météorologiques au sol et celles issues de simulation régionale à la Meso-échelle (avec Meso-NH).Les données des stations au sol doivent être collectées et hébergées automatiquement sur les serveurs de l'Université de Corse. Pour faciliter les accès à ces données pour des utilisateurs choisis, un service de back-end a été développé  à l'Université Paris Saclauy dans le cadre d'un projet du Master IoT.Le déploiement de ce service au sein de l'Université de Corse  forme le sujet du stage. ; 2023/2024 
