Siret;Raison_sociale;Enseigne;Dirigeant_principal;Forme_juridique;Libelle_inscription;Code_APE;Libelle_code_APE;Libelle_categorie;Effectif_etablissement;Voie;Code_postal;Libelle_commune;Libelle_departement;Libelle_zone_appartenance_commune;Telephone;Email;Nombre_etablissements
810.794.628.00026;MR CHERRIER LOIC;;Mr Loic CHERRIER;1000;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;LIEU DIT MELA;20129;BASTELICACCIA;CORSE DU SUD;CC - CELAVU PRUNELLI;06 21 55 64 81;cherrier.loic@gmail.com;1
879.262.079.00020;EP COMMUNICATION;;Mme Estelle PARFUS;5499;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;LIEU DIT COLOMBINA;20129;BASTELICACCIA;CORSE DU SUD;CC - CELAVU PRUNELLI;;;1
921.499.349.00014;ALM INFORMATIQUE;;Mr Clement MARY;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;CHE DE MELA;20129;BASTELICACCIA;CORSE DU SUD;CC - CELAVU PRUNELLI;06 30 60 51 35;maury.cle@gmail.com;1
937.894.061.00012;ARTIA;;Mr Guillaume DUPUIS;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;SUARALTA VECCHIA;20129;BASTELICACCIA;CORSE DU SUD;CC - CELAVU PRUNELLI;;;1
482.882.966.00039;JCV INFORMATIQUE;;Mr Jean VITIELLO;5499;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;0;ROUTE DE BOTTACCINA;20129;BASTELICACCIA;CORSE DU SUD;CC - CELAVU PRUNELLI;04 95 23 49 06;jcvinfo2@orange.fr;1
429.903.032.00028;MILLENIUM DEVELOPPEMENT;;Mme Marie COSSU;5499;RCS;6202B;TIERCE MAINTENANCE DE SYSTÈMES ET D'APPLICATIONS INFORMATIQUES;SERVICE;0;CHEMIN DE CARDITELLI;20129;BASTELICACCIA;CORSE DU SUD;CC - CELAVU PRUNELLI;04 95 76 87 76;;1
448.482.901.00049;A.D.D.;;Mme Laurence COLIN;5499;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;2;CHEMIN DE SUARALTA VECCHIA;20129;BASTELICACCIA;CORSE DU SUD;CC - CELAVU PRUNELLI;;;1
503.313.686.00019;GRAVONA TRAITEMENT INFORMATIQUE;;Mr Jacques PADOVANI;5499;RCS;6209Z;AUTRES ACTIVITÉS INFORMATIQUES;SERVICE;2;QUARTIER MORASCHI;20136;BOCOGNANO;CORSE DU SUD;CC - CELAVU PRUNELLI;06 03 26 02 72;gt.informatique@wanadoo.fr;1
903.797.066.00011;ANOTHER IT CORP;;Mr Boris BEMBINOFF;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;LIEU DIT FOCE DI LERA;20169;BONIFACIO;CORSE DU SUD;CC - SUD CORSE;07 54 81 19 66;boris.bembinoff@gmail.com;1
833.731.607.00010;INTERACTIVE VIRTUAL MEETING;INTERACTIVE VIRTUAL MEETING;Mme Geraldine SCHWAB;5499;RCS;6312Z;PORTAILS INTERNET;SERVICE;2;LIEU DIT BANCARELLO;20169;BONIFACIO;CORSE DU SUD;CC - SUD CORSE;;contact@ivmhealth.com;1
898.216.866.00027;MR FABY JULIEN;;Mr Julien FABY;1000;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;RESIDENCE MONTE LEONE;20169;BONIFACIO;CORSE DU SUD;CC - SUD CORSE;;;1
753.025.469.00028;MR RABIALAHY MAMY ANDRIANIRINA;;Mr Mamy Andrianirina RABIALAHY;1000;RCS;6202B;TIERCE MAINTENANCE DE SYSTÈMES ET D'APPLICATIONS INFORMATIQUES;SERVICE;0;41 LES SABLES BLANCS DE LA LISCIA;20111;CALCATOGGIO;CORSE DU SUD;CC - SPELUNCA LIAMONE;;;1
423.609.205.00038;MR CHABOT FRANCOIS;;Mr Francois CHABOT;1000;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;3;SAINT SYLVESTRE;20133;CARBUCCIA;CORSE DU SUD;CC - CELAVU PRUNELLI;;;1
939.689.121.00019;TRENDY;;Mr Noah JOYAUX;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;CHIUNI;20130;CARGESE;CORSE DU SUD;CC - SPELUNCA LIAMONE;;;1
950.760.132.00015;APPREZZIA;;Mme Magali IGNOTIS;5410;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;ROUTE DE PIANA;20130;CARGESE;CORSE DU SUD;CC - SPELUNCA LIAMONE;;info@apprezzia.com;1
979.105.558.00014;YAKO;;Mr Morgan POPINEAU;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;POZZACCIO;20138;COTI CHIAVARI;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;;;1
502.690.639.00013;WEBLOGIC;;Mme Isabelle LUCIANI;5499;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;PLAINE DE CUTTOLI;20167;CUTTOLI CORTICCHIATO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 52 90 96;;1
981.223.050.00023;MIRAGE CREATIVE LAB;MIRAGE CREATIVE LAB;Mr Emile ROBERT;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;12  LOTISSEMENT OLIVAGGIO I;20117;ECCICA SUARELLA;CORSE DU SUD;CC - CELAVU PRUNELLI;;;1
981.223.050.00056;MIRAGE CREATIVE LAB;;Mr Emile ROBERT;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;2;116 CHJASSU D'OLIVAGGIO;20117;ECCICA SUARELLA;CORSE DU SUD;CC - CELAVU PRUNELLI;;;1
899.584.023.00027;KIRO 2A;;Mr Jan PARFAIT;5710;RCS;6203Z;GESTION D'INSTALLATIONS INFORMATIQUES;SERVICE;1;SAINTE LUCIE DE TALZA;20114;FIGARI;CORSE DU SUD;CC - SUD CORSE;06 35 25 16 15;janparfait@gmail.com;1
989.166.848.00014;NOVIAMIND;;Mr Elio D'AGOSTINO;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;CARAVONE;20114;FIGARI;CORSE DU SUD;CC - SUD CORSE;;;1
880.324.215.00016;RFRANCE CONSULTING;;Mr Richard FRANCE;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;45 B FORCONCELLO;20100;GRANACE;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;04 20 02 69 39;;1
493.954.846.00017;CORSICA TRACE;;Mr Marc VEZZARO;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;2;6 LOTISSEMENT LES CANDILELLI;20166;GROSSETO PRUGNA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;06 87 20 07 62;;1
911.299.170.00017;MR SOFIER JONATHAN;;Mr Jonathan SOFIER;1299;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;QUARCIO;20166;GROSSETO PRUGNA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;06 99 51 73 47;jonsofier@gmail.com;1
823.298.468.00021;MME ORSINI MARIE;;Mr Marie ORSINI;1000;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;19 LOTISSEMENT HAMEAUX DU SOLEIL;20166;GROSSETO PRUGNA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;;;1
850.473.257.00010;MR VASSEUR RENAUD;;Mr Renaud VASSEUR;1000;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;7 DES ORANGERS;20166;GROSSETO PRUGNA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;06 35 29 27 92;renaudvas@gmail.com;1
894.611.714.00011;VERY LYS;;Mr Johann THIESSON;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;26 JARDINS DES MARINES DE PORTICCIO;20166;GROSSETO PRUGNA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;;johann@verylys.net;1
437.616.857.00029;MR BRESCIANI WILLIAMS;;Mr Williams BRESCIANI;1000;RCS/RM;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;0;BOULEVARD MARIE-JEANNE BOZZI;20166;GROSSETO PRUGNA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;;;1
403.854.169.00014;GEOCORSE;;Mr Hughes EVRARD;5499;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;1;SCAGLIONE;20128;GROSSETO PRUGNA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;;;1
934.739.376.00010;POSAH;;Mr Marcandria GONZALEZ;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0; PIAZZA COMMUNA;20160;GUAGNO;CORSE DU SUD;CC - SPELUNCA LIAMONE;;;1
435.379.284.00035;APSAROKE;;Mr Bernard PEYRIN;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;15;235 BOULEVARD CAMPANELLA;20137;LECCI;CORSE DU SUD;CC - SUD CORSE;;bernard.peyrin@grenoble-em.com;1
750.340.846.00054;VIBE CROWS TECHNOLOGY;;Mr Bernard PEYRIN;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;4;6 B CORSU NAPOLEONU;20137;LECCI;CORSE DU SUD;CC - SUD CORSE;;;1
977.725.308.00026;RAM EDI;;Mr Mathieu RAULT;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;STRADA DI MORA DELL' ONDA;20137;LECCI;CORSE DU SUD;CC - SUD CORSE;;;1
904.782.786.00019;TOUS NOMADES;;Mr Sylvain COCU;5710;RCS;6312Z;PORTAILS INTERNET;SERVICE;1;VILLA LA CROIX;20137;LECCI;CORSE DU SUD;CC - SUD CORSE;;;1
990.883.035.00018;MINOS TECHNOLOGIES;;Mr Nicolas FAKIS;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;427 STRADA DI CAPU;20137;LECCI;CORSE DU SUD;CC - SUD CORSE;;;1
803.205.418.00012;DESTEL;;Mr Amansio DO NASCIMENTO;5499;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;1;LIEUDIT PADULELLA;20137;LECCI;CORSE DU SUD;CC - SUD CORSE;06 84 83 14 23;;1
822.756.508.00021;SAS KALLISTE;;Mr Regis PIETRI;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;LE PANTANO;20170;LEVIE;CORSE DU SUD;CC - ALTA ROCCA;04 20 13 01 63;contact@sas-kalliste.fr;1
927.905.182.00014;TOOPRAKT;;Mr Christian COMITI;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;18  QUARTIERORTALE HAUT;20113;OLMETO;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;;;1
794.420.778.00019;CORS'EVENTS;;Mme Myriam VIENNET;5499;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;RESIDENCE DU GOLFE DU VALINCO;20113;OLMETO;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;;;1
494.134.927.00016;MR PERINON-BRUNELLI FRANCOIS-JACK;INFO-PRO-SERVICES;Mr Francois-Jack PERINON-BRUNELLI;1100;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;0;CIPINIELLO;20113;OLMETO;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;06 21 48 01 75;contact@ipscorse.com;1
932.797.244.00013;KAEDE;;Mme Marie-Ange WERCK;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;CHIOSO NOVO;20167;PERI;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
452.399.611.00014;TRAVAUX INFORMATIQUE CORSE;;Mr Jean BISCAMBIGLIA;5499;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;1;PLAINE PLAINE DE PERI;20167;PERI;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 70 11 98;;1
908.565.757.00022;ALIMEA TECH;;Mr Clement HERAT;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;1;CALO;20140;PETRETO BICCHISANO;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;04 95 72 93 38;;1
841.218.118.00013;AUTONOMOUS CLEAN WATER APPLIANCE (ACWA;;Mr Jean Francois ROSSI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;10;HAMEAU I CROCI;20140;PETRETO BICCHISANO;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;07 61 07 85 06;jf.guiderdoni@acwa-robotics.com;1
491.260.816.00013;MR LUCCHINI TOUSSAINT;COMPUTER.NET;Mr Toussaint LUCCHINI;1100;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;0;CALDARELLO VILLAGE;20131;PIANOTTOLI CALDARELLO;CORSE DU SUD;CC - SUD CORSE;04 95 71 83 78;;1
481.176.246.00017;SYNAPSYSTEMS;;Mr Stephane OTTAVY;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;ALLEE DU MAQUIS;20166;PIETROSELLA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;06 14 30 09 76;sottavy@yahoo.fr;1
510.455.637.00031;FACSI;;Mr Fabien AVRIL;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;7;4 LOTISSEMENT CARDICCIOLA;20166;PIETROSELLA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;;;1
802.316.489.00045;YAKA MAILER;;Mr Michel PIHET;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;2;ROUTE D'ACCELASCA;20166;PIETROSELLA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;;;1
330.698.036.00051;APPLICAT INFORMAT REPARTIE ANN;;Mme Nicole OUVRARD;5499;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;1;ROUTE DE PIETROSELLA;20166;PIETROSELLA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;;olivier-ouvrard@orange.fr;1
794.980.722.00019;EDIT-WEB;;Mme Pancrace GUGLIELMI;5499;RCS;6312Z;PORTAILS INTERNET;SERVICE;0;BRAGHITACCIA;20123;PILA CANALE;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;;;1
413.554.916.00028;MR ROUX FLORIAN;FPR SERVICES;Mr Florian ROUX;1000;RCS;6209Z;AUTRES ACTIVITÉS INFORMATIQUES;SERVICE;0;ROUTE DE SOTTA;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;07 67 03 58 49;;1
983.414.467.00016;SAS EMF;;Mr Florian MAURY;5710;RCS;6209Z;AUTRES ACTIVITÉS INFORMATIQUES;SERVICE;0;16  FOCE DI TERMINI;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;;;1
352.777.718.00052;A.R.I.D.;;Mr Claude FELIX;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;RENAJOLO;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;;;1
484.562.657.00011;HAUTE COUTURE TECHNOLOGIE;;Mr Thomas GRECHENIG;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;1;HAMEAU BALA;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;09 65 15 73 14;;1
498.611.979.00010;RDO SERVICES;RDO SERVICES;Mr Jean-Luc MATTEI;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;1;5 RUE DES OLIVIERS;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;04 95 10 76 97;jlm@rdoservices.fr;1
822.240.867.00017;HOSPITALINK;;Mr Geoffrey BERDAH;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;3;14 RUE MARECHAL JUIN;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;06 18 93 09 07;contact@hospitalink.fr;1
944.033.067.00017;ORAMA LIMITED;;Mr Florent CAS;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;RUE PASTEUR;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;;;1
978.694.735.00017;LAUNCHERZ;;Mr Florent BOSSERT CASTELLI;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;RUE GENERAL DE BOISSOUDY;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;;;1
453.114.100.00028;MME NEGREL ELISABETH;;Mme Elisabeth NEGREL;1000;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;ROUTE DE PALOMBAGGIA;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;06 24 63 21 91;contact@cliniquedelacom.fr;1
812.600.351.00025;RSK;;Mr Sebastien ROCCA SERRA;5499;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;3;AVENUE GEORGES POMPIDOU;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;04 95 21 20 25;info@rskcom.com;1
833.307.119.00010;CARTORESTO;;Mr Thibault CASTELLI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;SCALELLA;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;04 95 70 51 04;SAGIC@WANADOO.FR;1
842.101.016.00017;WINERAL;;Mr Didier LORENZINI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;RUE DU CDT QUILICI;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;;;1
891.870.271.00014;TSDB INGENIERY;;Mr Gaetan BERTOZZI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;RESIDENCE LES QUATRE PORTES;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;;;1
933.717.928.00016;MR FORCONI JEAN-JOSE;;Mr Jean-Jose FORCONI;1000;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;ROUTE DE MURATELLO;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;;;1
977.954.544.00010;LOAD MY CAR;;Mr Jean Pascal TERRAZZONI;5499;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;13 RUE DE LA CITADELLE;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;;;1
452.781.891.00018;JLM INFORMATIQUE;;Mr Jean MONDOLONI;5499;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;0;ROUTE Dâ€™ARCA;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;06 11 50 82 33;JLMONDOLONI@FREE.FR;1
482.096.955.00026;MR ANNE JEAN-CHRISTOPHE;;Mr Jean-Christophe ANNE;1000;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;0;RUE DU CDT QUILICI;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;;;1
912.983.806.00015;MR BOUHA PIERRE;POVO TECH;Mr Pierre BOUHA;1000;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;0;QUANIVALELLA;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;06 84 17 55 99;bouhapierre@gmail.com;1
800.156.978.00010;POLI5.NET COM;;Mme Marie Josephine POLI;5499;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;0;1  QUABACCAGGIO;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;04 95 70 02 00;JEAN-PIERRE.POLI5@WANADOO.FR;1
972.200.018.09456;FIDUCIAL CONSULTING;;Mr Christian LATOUCHE;5710;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;4;RESIDENCE LES QUATRE PORTES;20137;PORTO VECCHIO;CORSE DU SUD;CC - SUD CORSE;04 95 70 13 57;porto.vecchio.expertise.comptable@fiducial.fr;1
442.075.024.00020;MR BALESI OLIVIER;;Mr Olivier BALESI;1000;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;34 AVENUE NAPOLEON III;20110;PROPRIANO;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;06 52 25 37 43;o.balesi@gmail.com;1
942.613.993.00016;CL CONSULTING;;Mr Colin LARRUE;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;24 RUE JEAN PANDOLFI;20110;PROPRIANO;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;;;1
948.564.141.00018;CONSEILS EN GESTION POUR LA PERFORMANC;CGPE;Mme Virginie VU TU KHIEN;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;6 RUE CHARLES TOMASINI;20110;PROPRIANO;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;;;1
987.629.391.00010;CORSICA INSIDER;;Mr Anthony BRESSY;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;IMPASSE QUATRINA;20110;PROPRIANO;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;;;1
812.455.814.00028;MR MAILLOT JEAN;;Mr Jean MAILLOT;1000;RCS;6202B;TIERCE MAINTENANCE DE SYSTÈMES ET D'APPLICATIONS INFORMATIQUES;SERVICE;0;10 RUE BONAPARTE;20110;PROPRIANO;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;;;1
972.200.018.12054;FIDUCIAL CONSULTING;;Mr Christian LATOUCHE;5710;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;5;RESIDENCE SAN GIUSEPPU;20110;PROPRIANO;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;;;1
804.303.360.00031;DATAKLUB;;Mr Tony ALIBELLI;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;LIEU DIT COSTA DI VAGHIA;20122;QUENZA;CORSE DU SUD;CC - ALTA ROCCA;;;1
909.326.258.00011;MME TAMOUZE DEBORAH;L'@TELIER;Mme Deborah TAMOUZE;1200;RCS;6202B;TIERCE MAINTENANCE DE SYSTÈMES ET D'APPLICATIONS INFORMATIQUES;SERVICE;0;IMMEUBLE LE SPORTING;20112;SAINTE LUCIE DE TALLANO;CORSE DU SUD;CC - ALTA ROCCA;06 09 81 05 56;latelier.levie@gmail.com;1
912.130.903.00020;TAKEOFFSOLUTION;;Mr Pierre STASIN;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;HAMEAU DE GIALLA;20170;SAN GAVINO DI CARBINI;CORSE DU SUD;CC - ALTA ROCCA;;;1
943.187.773.00016;ARIA VISION;;Mme Audrey PAOLI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;RT 10;20145;SARI DE SOLENZARA;CORSE DU SUD;CC - ALTA ROCCA;;;1
931.288.815.00018;MR BERTAIGNE SYLVAIN;LE COMPTOIR ECOLAB;Mr Sylvain BERTAIGNE;1000;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;0;VIA DI U COMMANDANTI POLI;20145;SARI DE SOLENZARA;CORSE DU SUD;CC - ALTA ROCCA;;;1
822.052.312.00029;BEESIDE;;Mr Samuel SALLEI;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;2;ZI DE CALDANICCIA;20167;SARROLA CARCOPINO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 23 09 77;contact@beeside.fr;1
843.464.298.00010;BEESIDE UX;;Mr Samuel SALLEI;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;LIEU DIT FAVAGIOLO;20167;SARROLA CARCOPINO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
887.686.962.00028;DIGITALINE TECH;;Mme Patricia BONGIBAULT;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;4 SAINT-PIERRE ROUTE DE PANTANO;20167;SARROLA CARCOPINO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
501.363.741.00031;EXTERGIGA;;Mr Philippe DONNAT;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;UGINI;20100;SARTENE;CORSE DU SUD;CC - SARTENAIS VALINCO TARAVO;;pdonnat@yahoo.com;1
527.686.539.00034;IMPARTYA;;Mr Cyriaque LE PALEC;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;ROUTE DEPARTEMENTALE 757;20140;SERRA DI FERRO;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;06 15 10 40 56;cyriaque.le.palec@impartya.fr;1
349.138.396.00040;SAFIR INFOGRAPHIE;;Mr Gilles MOINE;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;1;LOTISSEMENT VALISTRELLA;20146;SOTTA;CORSE DU SUD;CC - SUD CORSE;06 11 73 84 30;g.moine@safirinfo.fr;1
401.335.658.00035;MME POLI CAROLINE;;Mme Caroline POLI;1000;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;LIEU DIT COSTA GELLATA;20146;SOTTA;CORSE DU SUD;CC - SUD CORSE;04 95 71 25 95;poli.caroline@wanadoo.fr;1
920.673.134.00010;TE MAPENUI CONSULTING;;Mr Arnaud PAOLETTI;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;1;LECCIA CARNE;20134;TASSO;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;;;1
977.996.974.00019;CYBER FORGE DEVELOPMENT;;Mme Veronique FIESCHI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;RUE COLONEL PERALDI;20160;VICO;CORSE DU SUD;CC - SPELUNCA LIAMONE;;;1
